"Freq [GHz]","dB(S(1,1)) [] - l1='4mm'","dB(S(1,1)) [] - l1='6mm'","dB(S(1,1))_1 []"
5.3,-1.18533501482033,-4.20425400945185,-2.39628652214602
5.31,-1.2230534169588,-4.23275034702927,-2.54420314835817
5.32,-1.26509735888983,-4.25242085366917,-2.71070293222076
5.33,-1.31212319451766,-4.26298993608168,-2.89890706712511
5.34,-1.36491725238266,-4.26436735140597,-3.11258007841191
5.35,-1.42442701166679,-4.25664910780842,-3.35628384593389
5.36,-1.49180109088272,-4.24011155109906,-3.63557298773019
5.37,-1.56844090735178,-4.21519934629696,-3.95724382246177
5.38,-1.65606790462695,-4.18250856489973,-4.32965301377818
5.39,-1.75681169807852,-4.14276646464448,-4.76312695913503
5.4,-1.87332653233925,-4.09680977127541,-5.27048858747859
5.41,-2.0089463326098,-4.0455633442468,-5.86773173631809
5.42,-2.16789273171797,-3.99002106143414,-6.57486389158831
5.43,-2.35555629389937,-3.93123064385387,-7.41687698562072
5.44,-2.57887949007099,-3.87028402443798,-8.42455696292228
5.45,-2.84688188076554,-3.80831481412764,-9.63392153269973
5.46,-3.171384926773,-3.74650450306327,-11.0797309046769
5.47,-3.56801784413485,-3.68609932188009,-12.7666559401173
5.48,-4.05761902562131,-3.62844024224719,-14.566397227225
5.49,-4.66818929186016,-3.57500946921782,-15.9690621670551
5.5,-5.43758652931678,-3.52749797865082,-16.0929279073098
5.51,-6.41707188150532,-3.48790004720308,-14.8381625468639
5.52,-7.67507571945356,-3.4586417774569,-13.0643861326022
5.53,-9.29625085823811,-3.44274976576284,-11.3619157239575
5.54,-11.3474378677044,-3.44405917206609,-9.89848660834309
5.55,-13.6669132778743,-3.46743746220328,-8.68068094523034
5.56,-15.1434638817896,-3.51893811154712,-7.67592677519464
5.57,-14.1979240188114,-3.60565083570297,-6.84795686174168
5.58,-11.9119508762679,-3.7347058122643,-6.1651944408984
5.59,-9.73861665073523,-3.9103746881733,-5.60185181719245
5.6,-7.99784788355056,-4.12780312625281,-5.13727861149166
5.61,-6.64814519699136,-4.36316036027476,-4.75504069570096
5.62,-5.60303173508193,-4.56610968211108,-4.44209497502415
5.63,-4.78863574786611,-4.67015658840121,-4.18812317746832
5.64,-4.14878563668252,-4.62949632440074,-3.98501214469619
5.65,-3.64178188701135,-4.45266981116286,-3.82645462949231
5.66,-3.23674233772554,-4.19236649932622,-3.707646899074
5.67,-2.91071072679198,-3.90659389399776,-3.6250647124831
5.68,-2.6465249092797,-3.6338589523673,-3.57630427988939
5.69,-2.43127241199149,-3.39154415721813,-3.55997909465769
5.7,-2.25517543368963,-3.18364820353951,-3.57566720547395
5.71,-2.11078521135027,-3.00788969261656,-3.6239068495088
5.72,-1.99239851930503,-2.85986431058273,-3.70624170361362
5.73,-1.89563385753865,-2.73498036359897,-3.82532064986288
5.74,-1.81712291102413,-2.62919052754756,-3.98506130923837
5.75,-1.75428580673759,-2.53917296762323,-4.19089224595296
5.76,-1.7051679546596,-2.46229461150375,-4.45009661991923
5.77,-1.66832289446863,-2.39650647199037,-4.77229178431584
5.78,-1.6427303649328,-2.34023189490018,-5.17009787419263
5.79,-1.62774234175882,-2.29226899221896,-5.66007953083919
5.8,-1.6230524709705,-2.25171219192573,-6.26409960139317
5.81,-1.62868646679745,-2.21789179863748,-7.01132277798886
5.82,-1.6450128721329,-2.19032872730114,-7.94128545204633
5.83,-1.67277525395585,-2.16870151732748,-9.10873534685081
5.84,-1.71314850269541,-2.15282325344817,-10.591161188803
5.85,-1.76782335846645,-2.14262667955412,-12.4981494232866
5.86,-1.83912423059345,-2.13815644832187,-14.9625123289187
5.87,-1.93016476267985,-2.13956807980215,-17.9392668858827
5.88,-2.04504086116686,-2.14713383603972,-19.9817598583781
5.89,-2.18904618570177,-2.1612564122563,-18.4832772418996
5.9,-2.36885759836517,-2.18249217357454,-15.5464958010022
5.91,-2.59255138717415,-2.21158672541199,-13.0369819999589
5.92,-2.86912568082525,-2.24952701290402,-11.1030609453784
5.93,-3.20684550316823,-2.29761603028126,-9.61648135893087
5.94,-3.60915194190943,-2.35757868542433,-8.46299402118499
5.95,-4.06637455690845,-2.43171034275904,-7.56212755818682
5.96,-4.54258552674392,-2.52308245669335,-6.85844403755061
5.97,-4.96354332957033,-2.63582042125516,-6.31379605239834
5.98,-5.22558935411267,-2.77546144982693,-5.90260967695907
5.99,-5.24581439484498,-2.94937019802436,-5.60948197168163
6,-5.02356895758591,-3.16710276345073,-5.42865613035134
6.01,-4.64048725257397,-3.44039494848893,-5.36556278169633
6.02,-4.19923760547584,-3.78199126452292,-5.44150263601906
6.03,-3.77367694467963,-4.20174221750867,-5.70409001568177
6.04,-3.3999271959703,-4.69766298910602,-6.24854501286731
6.05,-3.08815879028564,-5.24104796831413,-7.25331490590907
6.06,-2.83548065895821,-5.76297104432327,-8.96572155710365
6.07,-2.6340873229957,-6.16441840649007,-10.9494221881976
6.08,-2.47530290606667,-6.36712343219339,-10.1204782455963
6.09,-2.351237615654,-6.36778680338653,-7.29892028171309
6.1,-2.25528359154897,-6.23168939774421,-5.33839786476075
