"Freq [GHz]","dB(S(1,1)) []"
5.3,-2.39628652214602
5.31,-2.54420314835817
5.32,-2.71070293222076
5.33,-2.89890706712511
5.34,-3.11258007841191
5.35,-3.35628384593389
5.36,-3.63557298773019
5.37,-3.95724382246177
5.38,-4.32965301377818
5.39,-4.76312695913503
5.4,-5.27048858747859
5.41,-5.86773173631809
5.42,-6.57486389158831
5.43,-7.41687698562072
5.44,-8.42455696292228
5.45,-9.63392153269973
5.46,-11.0797309046769
5.47,-12.7666559401173
5.48,-14.566397227225
5.49,-15.9690621670551
5.5,-16.0929279073098
5.51,-14.8381625468639
5.52,-13.0643861326022
5.53,-11.3619157239575
5.54,-9.89848660834309
5.55,-8.68068094523034
5.56,-7.67592677519464
5.57,-6.84795686174168
5.58,-6.1651944408984
5.59,-5.60185181719245
5.6,-5.13727861149166
5.61,-4.75504069570096
5.62,-4.44209497502415
5.63,-4.18812317746832
5.64,-3.98501214469619
5.65,-3.82645462949231
5.66,-3.707646899074
5.67,-3.6250647124831
5.68,-3.57630427988939
5.69,-3.55997909465769
5.7,-3.57566720547395
5.71,-3.6239068495088
5.72,-3.70624170361362
5.73,-3.82532064986288
5.74,-3.98506130923837
5.75,-4.19089224595296
5.76,-4.45009661991923
5.77,-4.77229178431584
5.78,-5.17009787419263
5.79,-5.66007953083919
5.8,-6.26409960139317
5.81,-7.01132277798886
5.82,-7.94128545204633
5.83,-9.10873534685081
5.84,-10.591161188803
5.85,-12.4981494232866
5.86,-14.9625123289187
5.87,-17.9392668858827
5.88,-19.9817598583781
5.89,-18.4832772418996
5.9,-15.5464958010022
5.91,-13.0369819999589
5.92,-11.1030609453784
5.93,-9.61648135893087
5.94,-8.46299402118499
5.95,-7.56212755818682
5.96,-6.85844403755061
5.97,-6.31379605239834
5.98,-5.90260967695907
5.99,-5.60948197168163
6,-5.42865613035134
6.01,-5.36556278169633
6.02,-5.44150263601906
6.03,-5.70409001568177
6.04,-6.24854501286731
6.05,-7.25331490590907
6.06,-8.96572155710365
6.07,-10.9494221881976
6.08,-10.1204782455963
6.09,-7.29892028171309
6.1,-5.33839786476075
