"Phi [deg]","Theta [deg]","Freq [GHz]","dB(RealizedGainTotal) []"
0,0,5.3,-1.56570249083989
0,0,5.31,-1.2395648300145
0,0,5.32,-0.907938863961726
0,0,5.33,-0.571226680464088
0,0,5.34,-0.230003998444797
0,0,5.35,0.114937046152912
0,0,5.36,0.462537815189711
0,0,5.37,0.811415111686712
0,0,5.38,1.15979695090021
0,0,5.39,1.50545408842466
0,0,5.4,1.84563306881277
0,0,5.41,2.17699925715359
0,0,5.42,2.4956023772689
0,0,5.43,2.79688266517566
0,0,5.44,3.07573787638368
0,0,5.45,3.3266726160827
0,0,5.46,3.54404536344397
0,0,5.47,3.72241371671094
0,0,5.48,3.85695613626721
0,0,5.49,3.94392031343423
0,0,5.5,3.98102575074354
0,0,5.51,3.96774315289266
0,0,5.52,3.90539009018778
0,0,5.53,3.79702264373064
0,0,5.54,3.64715026519467
0,0,5.55,3.46133768445312
0,0,5.56,3.24577270638126
0,0,5.57,3.00687006263378
0,0,5.58,2.75095722050482
0,0,5.59,2.48406049165896
0,0,5.6,2.21178816977292
0,0,5.61,1.93929324896007
0,0,5.62,1.67129359028597
0,0,5.63,1.41212760479618
0,0,5.64,1.16582633637215
0,0,5.65,0.93618733360949
0,0,5.66,0.726838423248606
0,0,5.67,0.541282305655356
0,0,5.68,0.382915279613247
0,0,5.69,0.255013875224848
0,0,5.7,0.160686066153342
0,0,5.71,0.102784598194832
0,0,5.72,0.0837842543607832
0,0,5.73,0.105626926969046
0,0,5.74,0.169543951817726
0,0,5.75,0.275866948839218
0,0,5.76,0.423841294079372
0,0,5.77,0.611456629450115
0,0,5.78,0.835306937953276
0,0,5.79,1.09049255847633
0,0,5.8,1.37057605748423
0,0,5.81,1.66760943101827
0,0,5.82,1.97225791999657
0,0,5.83,2.27405538875042
0,0,5.84,2.56182883336844
0,0,5.85,2.82431550519297
0,0,5.86,3.05095593378721
0,0,5.87,3.23278130597129
0,0,5.88,3.36324659608948
0,0,5.89,3.4388239910289
0,0,5.9,3.45920464720095
0,0,5.91,3.42705395131993
0,0,5.92,3.34739214135025
0,0,5.93,3.22676433285384
0,0,5.94,3.07238544646541
0,0,5.95,2.89140144155606
0,0,5.96,2.69033067262215
0,0,5.97,2.47467504069126
0,0,5.98,2.24863229379953
0,0,5.99,2.01479288219085
0,0,6,1.77363776258711
0,0,6.01,1.52251564222666
0,0,6.02,1.25345376107103
0,0,6.03,0.94842371279712
0,0,6.04,0.569152488072479
0,0,6.05,0.0365038632519453
0,0,6.06,-0.800399677641733
0,0,6.07,-2.14496298302631
0,0,6.08,-3.91406991528869
0,0,6.09,-5.12485960658568
0,0,6.1,-5.08862927713965
