"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.9,0,-180,-17.582183527909,-4.89824731490755
5.9,0,-175,-17.7767305897752,-4.98493027662527
5.9,0,-170,-18.0568510680914,-5.2959783401753
5.9,0,-165,-18.4117606452155,-5.83793258960396
5.9,0,-160,-18.8247009270446,-6.62457516528357
5.9,0,-155,-19.2731787296023,-7.67877446969638
5.9,0,-150,-19.7300473492153,-9.03438382998035
5.9,0,-145,-20.1658159066624,-10.7339950897392
5.9,0,-140,-20.5522755303709,-12.8020556965375
5.9,0,-135,-20.8668546409082,-15.1035703455068
5.9,0,-130,-21.0963460930505,-16.874111430744
5.9,0,-125,-21.2384521643579,-16.7096131532448
5.9,0,-120,-21.3004074856499,-14.8815058178685
5.9,0,-115,-21.295292069259,-12.7631520454352
5.9,0,-110,-21.2375014013986,-10.8916473726156
5.9,0,-105,-21.1387152150853,-9.31880976380391
5.9,0,-100,-21.0050378117851,-7.99205358682333
5.9,0,-95,-20.8354498973162,-6.85281600642278
5.9,0,-90,-20.621603133609,-5.85374573687848
5.9,0,-85,-20.3491571618923,-4.95912657651814
5.9,0,-80,-20.0009287467206,-4.14263214827603
5.9,0,-75,-19.5616970322031,-3.38518122344464
5.9,0,-70,-19.0235194334879,-2.67328856482354
5.9,0,-65,-18.3895211583094,-1.99785630244157
5.9,0,-60,-17.6744091286967,-1.35330091687143
5.9,0,-55,-16.9016266191632,-0.7369253704443
5.9,0,-50,-16.0987966894246,-0.148457188444072
5.9,0,-45,-15.2935001405601,0.410322543930458
5.9,0,-40,-14.5105582991089,0.935927522975151
5.9,0,-35,-13.7708993434811,1.42354288748782
5.9,0,-30,-13.091505477683,1.86745316258705
5.9,0,-25,-12.4858799777869,2.26151309415648
5.9,0,-20,-11.9646517468597,2.59962877150892
5.9,0,-15,-11.536129649781,2.87620682784648
5.9,0,-10,-11.2067478753748,3.08653523927909
5.9,0,-5,-10.9814064858033,3.2270748269105
5.9,0,0,-10.8637320017561,3.29565774212713
5.9,0,5,-10.8562831250805,3.29160083810535
5.9,0,10,-10.9607197738172,3.21574442655326
5.9,0,15,-11.1779451654389,3.07042139326417
5.9,0,20,-11.5082211966784,2.85935238988061
5.9,0,25,-11.9512440725255,2.58745574255258
5.9,0,30,-12.5061452873916,2.26056089882941
5.9,0,35,-13.1713463181307,1.88502388754097
5.9,0,40,-13.944135315609,1.4672605704292
5.9,0,45,-14.8197398123984,1.01323259203059
5.9,0,50,-15.7895330483361,0.5279336241874
5.9,0,55,-16.8378577936199,0.0149222630929194
5.9,0,60,-17.9369419924644,-0.524070028568119
5.9,0,65,-19.0400663587306,-1.08945802177241
5.9,0,70,-20.0757301038752,-1.68408433133322
5.9,0,75,-20.9508285758711,-2.31352564724979
5.9,0,80,-21.5738351169462,-2.986501758057
5.9,0,85,-21.8953502639012,-3.71547525587147
5.9,0,90,-21.9349864252123,-4.51754276717387
5.9,0,95,-21.7659968146566,-5.41574169851442
5.9,0,100,-21.4742622085883,-6.4409136750628
5.9,0,105,-21.1277661054156,-7.63416102697196
5.9,0,110,-20.7680581144514,-9.04914828305179
5.9,0,115,-20.4146417108773,-10.749415910624
5.9,0,120,-20.0726731939806,-12.7760175431864
5.9,0,125,-19.7398640135095,-14.9752773243616
5.9,0,130,-19.4117753098307,-16.4550639676626
5.9,0,135,-19.0856081287121,-15.8164866561358
5.9,0,140,-18.762568780475,-13.6848443418818
5.9,0,145,-18.448798668947,-11.4479558045374
5.9,0,150,-18.1549754417655,-9.55904800755573
5.9,0,155,-17.8949333974791,-8.05249457614103
5.9,0,160,-17.6838116825907,-6.88467991453947
5.9,0,165,-17.5362049543026,-6.01202562513641
5.9,0,170,-17.4646084379918,-5.40267244815928
5.9,0,175,-17.4782405521962,-5.03558982928844
5.9,0,180,-17.582183527909,-4.89824731490755
5.9,90.0000000000002,-180,-4.89824731490755,-17.5821835279089
5.9,90.0000000000002,-175,-4.98652114066451,-17.1767003473505
5.9,90.0000000000002,-170,-5.18371012589801,-17.0189014505337
5.9,90.0000000000002,-165,-5.4846910595766,-17.0863156466084
5.9,90.0000000000002,-160,-5.87976594740388,-17.3590180183993
5.9,90.0000000000002,-155,-6.353743797994,-17.8143652347992
5.9,90.0000000000002,-150,-6.88469664967615,-18.4194912223329
5.9,90.0000000000002,-145,-7.44269752190679,-19.1197382427482
5.9,90.0000000000002,-140,-7.98926047352272,-19.8235638283054
5.9,90.0000000000002,-135,-8.47872759208049,-20.3940977434907
5.9,90.0000000000002,-130,-8.86299159229409,-20.6742434854323
5.9,90.0000000000002,-125,-9.09978568495859,-20.5622268426141
5.9,90.0000000000002,-120,-9.1620216286883,-20.0796596350759
5.9,90.0000000000002,-115,-9.04336929928986,-19.3466733184919
5.9,90.0000000000002,-110,-8.75672800154038,-18.4977576803028
5.9,90.0000000000002,-105,-8.32701849434473,-17.6292045505118
5.9,90.0000000000002,-100,-7.78296625575662,-16.7942090778265
5.9,90.0000000000002,-95,-7.15152454877171,-16.0166050221657
5.9,90.0000000000002,-90,-6.4556499223959,-15.3042046919869
5.9,90.0000000000002,-85,-5.71430351299508,-14.6573223001882
5.9,90.0000000000002,-80,-4.94333540858808,-14.073375319065
5.9,90.0000000000002,-75,-4.15642431138865,-13.5490905768088
5.9,90.0000000000002,-70,-3.36575972445235,-13.0813867641618
5.9,90.0000000000002,-65,-2.58244385103724,-12.6675625908317
5.9,90.0000000000002,-60,-1.81669385295397,-12.3051495366914
5.9,90.0000000000002,-55,-1.07793205630519,-11.9916435609454
5.9,90.0000000000002,-50,-0.374825895253477,-11.7242532597391
5.9,90.0000000000002,-45,0.284688626384817,-11.4997539627494
5.9,90.0000000000002,-40,0.893386633421524,-11.3144964621184
5.9,90.0000000000002,-35,1.44473607260756,-11.1645769754159
5.9,90.0000000000002,-30,1.93288584075008,-11.0461335771389
5.9,90.0000000000002,-25,2.35266569911896,-10.9557025180362
5.9,90.0000000000002,-20,2.69960118071552,-10.8905548882435
5.9,90.0000000000002,-15,2.96994307829566,-10.8489427370108
5.9,90.0000000000002,-10,3.16070751444785,-10.830207483431
5.9,90.0000000000002,-5,3.26972019244944,-10.8347308689926
5.9,90.0000000000002,0,3.29565774212712,-10.8637320017561
5.9,90.0000000000002,5,3.23808003679076,-10.9189332252176
5.9,90.0000000000002,10,3.09744959431942,-11.0021364582691
5.9,90.0000000000002,15,2.87513737590626,-11.1147705864864
5.9,90.0000000000002,20,2.57341832441178,-11.2574836291476
5.9,90.0000000000002,25,2.19546465017912,-11.4298534363324
5.9,90.0000000000002,30,1.745349510584,-11.6302749092016
5.9,90.0000000000002,35,1.22807690149821,-11.8560537141424
5.9,90.0000000000002,40,0.649653127342113,-12.1037026565536
5.9,90.0000000000002,45,0.017208688227901,-12.3694032587278
5.9,90.0000000000002,50,-0.660835310566925,-12.6495669400653
5.9,90.0000000000002,55,-1.37458609053227,-12.9414139687666
5.9,90.0000000000002,60,-2.11254514812428,-13.2434912033379
5.9,90.0000000000002,65,-2.86161608424088,-13.5560748711248
5.9,90.0000000000002,70,-3.60736823460968,-13.8814466196149
5.9,90.0000000000002,75,-4.33464818959686,-14.2240758422539
5.9,90.0000000000002,80,-5.02853842861807,-14.5907742345129
5.9,90.0000000000002,85,-5.67549151585755,-14.9909038581663
5.9,90.0000000000002,90,-6.26427393181633,-15.4367245148161
5.9,90.0000000000002,95,-6.78626066060744,-15.9439764873047
5.9,90.0000000000002,100,-7.23476207281301,-16.5328324004589
5.9,90.0000000000002,105,-7.60346650487519,-17.2294449213698
5.9,90.0000000000002,110,-7.88461950894971,-18.068511686618
5.9,90.0000000000002,115,-8.06801120803795,-19.0976713105231
5.9,90.0000000000002,120,-8.14193742275971,-20.3853369110043
5.9,90.0000000000002,125,-8.09671902308246,-22.0350685956648
5.9,90.0000000000002,130,-7.92995724067525,-24.2107968738951
5.9,90.0000000000002,135,-7.65110113392791,-27.156505691967
5.9,90.0000000000002,140,-7.282616032469,-30.8572357875832
5.9,90.0000000000002,145,-6.85689411969082,-32.1301652221375
5.9,90.0000000000002,150,-6.41060858611047,-28.6468897344062
5.9,90.0000000000002,155,-5.97921072738445,-25.1506005701524
5.9,90.0000000000002,160,-5.59330952160766,-22.5631779786015
5.9,90.0000000000002,165,-5.27716563846193,-20.6650369957151
5.9,90.0000000000002,170,-5.04865670971194,-19.2700013235497
5.9,90.0000000000002,175,-4.91993903142306,-18.2652987488629
5.9,90.0000000000002,180,-4.89824731490755,-17.5821835279089
