"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.5,0,-180,-10.5278277930319,-17.9106538374192
5.5,0,-175,-10.5210751888773,-17.9420539929462
5.5,0,-170,-10.6114376898197,-18.1156052774701
5.5,0,-165,-10.7836782625332,-18.4197136103465
5.5,0,-160,-11.0131078381124,-18.8421570974167
5.5,0,-155,-11.2660292029721,-19.3695298298808
5.5,0,-150,-11.501926668495,-19.9870191993032
5.5,0,-145,-11.6783794022919,-20.6786146636491
5.5,0,-140,-11.7583673031255,-21.4278127846451
5.5,0,-135,-11.7174073204026,-22.2187207738566
5.5,0,-130,-11.5467890791173,-23.0371377901259
5.5,0,-125,-11.2511203047776,-23.8707637857753
5.5,0,-120,-10.8421914185717,-24.7073007594122
5.5,0,-115,-10.3331030737175,-25.5290632093559
5.5,0,-110,-9.73528965118647,-26.3031474143807
5.5,0,-105,-9.05854963791614,-26.9684570031194
5.5,0,-100,-8.31262904448434,-27.4278139174013
5.5,0,-95,-7.50875004625243,-27.5644981430591
5.5,0,-90,-6.66016369236422,-27.297008591816
5.5,0,-85,-5.7816490031518,-26.6368804622536
5.5,0,-80,-4.88842029910236,-25.6839064024929
5.5,0,-75,-3.99500322872863,-24.5647569746903
5.5,0,-70,-3.11444155341432,-23.3819407448062
5.5,0,-65,-2.25793555236713,-22.2005407319967
5.5,0,-60,-1.43483804879792,-21.0561737627688
5.5,0,-55,-0.652871679287152,-19.9664631364946
5.5,0,-50,0.0815586639974663,-18.9395682694365
5.5,0,-45,0.763047173167626,-17.9793154836558
5.5,0,-40,1.38691441737095,-17.0879443954557
5.5,0,-35,1.94900548998029,-16.2674093029932
5.5,0,-30,2.44556586931305,-15.5198563679182
5.5,0,-25,2.87319008881942,-14.8476534175091
5.5,0,-20,3.22883047120956,-14.2531983104799
5.5,0,-15,3.50984821027551,-13.73864116741
5.5,0,-10,3.714086804675,-13.3056002361232
5.5,0,-5,3.83994829568348,-12.9549175829157
5.5,0,0,3.88645573420852,-12.6864819164074
5.5,0,5,3.85329019497546,-12.4991358026325
5.5,0,10,3.74079651685324,-12.3906777452308
5.5,0,15,3.54995768829256,-12.3579618889305
5.5,0,20,3.28234246483436,-12.3970881117809
5.5,0,25,2.94003385025937,-12.5036648864097
5.5,0,30,2.52554748999815,-12.673120279536
5.5,0,35,2.04174932228532,-12.9010358754989
5.5,0,40,1.49178180914329,-13.1834843209118
5.5,0,45,0.879008492038859,-13.5173604967972
5.5,0,50,0.206987903105119,-13.9007051245164
5.5,0,55,-0.520510127277445,-14.3330263410158
5.5,0,60,-1.29943076251162,-14.8156315085437
5.5,0,65,-2.12528753665552,-15.3519923271022
5.5,0,70,-2.99293030255409,-15.9481845543767
5.5,0,75,-3.89622445018173,-16.6134712248893
5.5,0,80,-4.82765643450993,-17.3611383482297
5.5,0,85,-5.7779095646767,-18.2097538638613
5.5,0,90,-6.73548938397755,-19.1851236400308
5.5,0,95,-7.68650368776353,-20.3233897493959
5.5,0,100,-8.61468604942011,-21.6759455965114
5.5,0,105,-9.50165758040938,-23.3167569869964
5.5,0,110,-10.3272568050715,-25.3493439333664
5.5,0,115,-11.0696570367913,-27.8829263789659
5.5,0,120,-11.7051959624508,-30.7536919935719
5.5,0,125,-12.2085718061184,-32.2603878566539
5.5,0,130,-12.5550091161721,-30.4215857847938
5.5,0,135,-12.7259640177931,-27.5210125269441
5.5,0,140,-12.7175674490159,-25.039984335427
5.5,0,145,-12.5472764668355,-23.0892653800224
5.5,0,150,-12.2534562044146,-21.5666758788998
5.5,0,155,-11.8872763617097,-20.3817676639622
5.5,0,160,-11.501742004443,-19.4720824615051
5.5,0,165,-11.1431880380385,-18.7954676485863
5.5,0,170,-10.8471589889261,-18.3228205681809
5.5,0,175,-10.6376416214713,-18.0332023693716
5.5,0,180,-10.5278277930319,-17.9106538374192
5.5,90.0000000000002,-180,-17.9106538374191,-10.5278277930316
5.5,90.0000000000002,-175,-17.9541627989736,-10.9301215039431
5.5,90.0000000000002,-170,-18.085499132835,-11.734838089126
5.5,90.0000000000002,-165,-18.298341416355,-13.0180646012332
5.5,90.0000000000002,-160,-18.5831381140012,-14.9239250328607
5.5,90.0000000000002,-155,-18.926800765303,-17.7012101292877
5.5,90.0000000000002,-150,-19.3123719408132,-21.4735054681684
5.5,90.0000000000002,-145,-19.7188272937061,-23.1618603963082
5.5,90.0000000000002,-140,-20.1212882072381,-19.3919897020086
5.5,90.0000000000002,-135,-20.4920305865455,-15.572853376551
5.5,90.0000000000002,-130,-20.8026489619478,-12.7329281576171
5.5,90.0000000000002,-125,-21.0273988335252,-10.5780082343267
5.5,90.0000000000002,-120,-21.1470580682059,-8.88008833640253
5.5,90.0000000000002,-115,-21.1519761323702,-7.49985044528764
5.5,90.0000000000002,-110,-21.0429750223472,-6.34873281148108
5.5,90.0000000000002,-105,-20.8297066677269,-5.36693000745558
5.5,90.0000000000002,-100,-20.5273277667369,-4.51192525299799
5.5,90.0000000000002,-95,-20.1529500466885,-3.75234117676198
5.5,90.0000000000002,-90,-19.7229822879443,-3.06448585012538
5.5,90.0000000000002,-85,-19.2517253999804,-2.43031909226269
5.5,90.0000000000002,-80,-18.751010046224,-1.83619823082871
5.5,90.0000000000002,-75,-18.2304658506708,-1.27206754024813
5.5,90.0000000000002,-70,-17.6980615340895,-0.730908133438807
5.5,90.0000000000002,-65,-17.1606867042559,-0.208343121840885
5.5,90.0000000000002,-60,-16.6246614150478,0.297667703274739
5.5,90.0000000000002,-55,-16.0961317296497,0.787090129507077
5.5,90.0000000000002,-50,-15.5813446637339,1.25807089787251
5.5,90.0000000000002,-45,-15.0868086341769,1.70721372875401
5.5,90.0000000000002,-40,-14.6193484262369,2.1298925306411
5.5,90.0000000000002,-35,-14.1860647530368,2.52060455883974
5.5,90.0000000000002,-30,-13.7942114906811,2.87335239266157
5.5,90.0000000000002,-25,-13.4510089967289,3.18203336550786
5.5,90.0000000000002,-20,-13.1634176626157,3.44081123034375
5.5,90.0000000000002,-15,-12.9378993104178,3.64444762180614
5.5,90.0000000000002,-10,-12.7801932051192,3.78857815467206
5.5,90.0000000000002,-5,-12.6951279666648,3.86992643738961
5.5,90.0000000000002,0,-12.6864819164073,3.88645573420852
5.5,90.0000000000002,5,-12.7568947048545,3.83746055785223
5.5,90.0000000000002,10,-12.9078245498823,3.7235989003184
5.5,90.0000000000002,15,-13.1395390613552,3.54686158380124
5.5,90.0000000000002,20,-13.4511230926438,3.31047101948661
5.5,90.0000000000002,25,-13.8404831327588,3.01870051255954
5.5,90.0000000000002,30,-14.3043232869081,2.67660937872784
5.5,90.0000000000002,35,-14.8380628197761,2.28969894767149
5.5,90.0000000000002,40,-15.4356614702732,1.86350798905981
5.5,90.0000000000002,45,-16.0893210124552,1.40317888834266
5.5,90.0000000000002,50,-16.7890482083397,0.913032590266117
5.5,90.0000000000002,55,-17.522107776334,0.396186497513564
5.5,90.0000000000002,60,-18.2724782312698,-0.145765901979968
5.5,90.0000000000002,65,-19.0205526447886,-0.713018446651482
