"Freq [GHz]","dB(S(1,1)) []"
5.2,-0.474602128831414
5.22,-0.522924331859062
5.24,-0.580464487416918
5.26,-0.649647972046821
5.28,-0.733728300233977
5.3,-0.837139621550793
5.32,-0.966030763611851
5.34,-1.12909134410342
5.36,-1.33885856781808
5.38,-1.61383481630953
5.4,-1.98201095340452
5.42,-2.48690930362243
5.44,-3.19835813466764
5.46,-4.23286344043142
5.48,-5.7963923923356
5.5,-8.29409027007943
5.52,-12.7331699178625
5.54,-23.2855637707489
5.56,-17.3574829792728
5.58,-10.5180230809971
5.6,-7.14129540388197
5.62,-5.12997408828001
5.64,-3.83368306354953
5.66,-2.95749364213446
5.68,-2.3436307413091
5.7,-1.90048395629128
5.72,-1.5721569001529
5.74,-1.32327803780499
5.76,-1.13077461740014
5.78,-0.979188179014788
5.8,-0.857908671185643
