g [mm],Freq [GHz],0.3mm,0.4 mm,0.5 mm
0.3,5.2,-1.476545062,-0.474602129,-0.31762739
0.3,5.22,-1.79422631,-0.522924332,-0.339474853
0.3,5.24,-2.223256574,-0.580464487,-0.364474472
0.3,5.26,-2.817188032,-0.649647972,-0.393249848
0.3,5.28,-3.662909535,-0.7337283,-0.426583569
0.3,5.3,-4.907792022,-0.837139622,-0.465467532
0.3,5.32,-6.820520168,-0.966030764,-0.511172514
0.3,5.34,-9.966477468,-1.129091344,-0.565345653
0.3,5.36,-15.96621104,-1.338858568,-0.630149129
0.3,5.38,-23.98540055,-1.613834816,-0.708460609
0.3,5.4,-20.98540055,-1.982010953,-0.804167953
0.3,5.42,-8.866606546,-2.486909304,-0.922610567
0.3,5.44,-6.221117868,-3.198358135,-1.071253392
0.3,5.46,-4.568733356,-4.23286344,-1.260737937
0.3,5.48,-3.473807109,-5.796392392,-1.506558079
0.3,5.5,-2.718433298,-8.29409027,-1.831796457
0.3,5.52,-2.180267377,-12.73316992,-2.271711077
0.3,5.54,-1.786159438,-23.28556377,-2.881663633
0.3,5.56,-1.49050978,-17.35748298,-3.751408674
0.3,5.58,-1.263949684,-10.51802308,-5.032661625
0.3,5.6,-1.087026588,-7.141295404,-6.999292968
0.3,5.62,-0.946529146,-5.129974088,-10.20860553
0.3,5.64,-0.833278499,-3.833683064,-15.9708581
0.3,5.66,-0.740763886,-2.957493642,-19.64223449
0.3,5.68,-0.66427886,-2.343630741,-12.48227141
0.3,5.7,-0.60036193,-1.900483956,-8.345808932
0.3,5.72,-0.546426682,-1.5721569,-5.915877107
0.3,5.74,-0.500512405,-1.323278038,-4.369684198
0.3,5.76,-0.461112883,-1.130774617,-3.335653546
0.3,5.78,-0.427056884,-0.979188179,-2.61822148
0.3,5.8,-0.397423416,-0.857908671,-2.105019507
