Freq [GHz],"dB(S(1,1)) []",dB(RealizedGainTotal) []
5.3,-2.396286522,-1.565702491
5.31,-2.544203148,-1.23956483
5.32,-2.710702932,-0.907938864
5.33,-2.898907067,-0.57122668
5.34,-3.112580078,-0.230003998
5.35,-3.356283846,0.114937046
5.36,-3.635572988,0.462537815
5.37,-3.957243822,0.811415112
5.38,-4.329653014,1.159796951
5.39,-4.763126959,1.505454088
5.4,-5.270488587,1.845633069
5.41,-5.867731736,2.176999257
5.42,-6.574863892,2.495602377
5.43,-7.416876986,2.796882665
5.44,-8.424556963,3.075737876
5.45,-9.633921533,3.326672616
5.46,-11.0797309,3.544045363
5.47,-12.76665594,3.722413717
5.48,-14.56639723,3.856956136
5.49,-15.96906217,3.943920313
5.5,-16.09292791,3.981025751
5.51,-14.83816255,3.967743153
5.52,-13.06438613,3.90539009
5.53,-11.36191572,3.797022644
5.54,-9.898486608,3.647150265
5.55,-8.680680945,3.461337684
5.56,-7.675926775,3.245772706
5.57,-6.847956862,3.006870063
5.58,-6.165194441,2.750957221
5.59,-5.601851817,2.484060492
5.6,-5.137278611,2.21178817
5.61,-4.755040696,1.939293249
5.62,-4.442094975,1.67129359
5.63,-4.188123177,1.412127605
5.64,-3.985012145,1.165826336
5.65,-3.826454629,0.936187334
5.66,-3.707646899,0.726838423
5.67,-3.625064712,0.541282306
5.68,-3.57630428,0.38291528
5.69,-3.559979095,0.255013875
5.7,-3.575667205,0.160686066
5.71,-3.62390685,0.102784598
5.72,-3.706241704,0.083784254
5.73,-3.82532065,0.105626927
5.74,-3.985061309,0.169543952
5.75,-4.190892246,0.275866949
5.76,-4.45009662,0.423841294
5.77,-4.772291784,0.611456629
5.78,-5.170097874,0.835306938
5.79,-5.660079531,1.090492558
5.8,-6.264099601,1.370576057
5.81,-7.011322778,1.667609431
5.82,-7.941285452,1.97225792
5.83,-9.108735347,2.274055389
5.84,-10.59116119,2.561828833
5.85,-12.49814942,2.824315505
5.86,-14.96251233,3.050955934
5.87,-17.93926689,3.232781306
5.88,-19.98175986,3.363246596
5.89,-18.48327724,3.438823991
5.9,-15.5464958,3.459204647
5.91,-13.036982,3.427053951
5.92,-11.10306095,3.347392141
5.93,-9.616481359,3.226764333
5.94,-8.462994021,3.072385446
5.95,-7.562127558,2.891401442
5.96,-6.858444038,2.690330673
5.97,-6.313796052,2.474675041
5.98,-5.902609677,2.248632294
5.99,-5.609481972,2.014792882
6,-5.42865613,1.773637763
6.01,-5.365562782,1.522515642
6.02,-5.441502636,1.253453761
6.03,-5.704090016,0.948423713
6.04,-6.248545013,0.569152488
6.05,-7.253314906,0.036503863
6.06,-8.965721557,-0.800399678
6.07,-10.94942219,-2.144962983
6.08,-10.12047825,-3.914069915
6.09,-7.298920282,-5.124859607
6.1,-5.338397865,-5.088629277
