"gg [mm]","Freq [GHz]","dB(S(1,1)) []"
0.2,5.3,-2.38931308082424
0.2,5.31,-2.53635306743203
0.2,5.32,-2.70173553954244
0.2,5.33,-2.88851610549113
0.2,5.34,-3.10037593193576
0.2,5.35,-3.34177100899936
0.2,5.36,-3.61812164280118
0.2,5.37,-3.93605428625318
0.2,5.38,-4.30371189615196
0.2,5.39,-4.73115449420853
0.2,5.4,-5.23087854804922
0.2,5.41,-5.81849077569877
0.2,5.42,-6.51357185835204
0.2,5.43,-7.34073042512255
0.2,5.44,-8.33067507592999
0.2,5.45,-9.52044680601792
0.2,5.46,-10.9493552067908
0.2,5.47,-12.6374698027842
0.2,5.48,-14.5010758082968
0.2,5.49,-16.1097808117236
0.2,5.5,-16.5321496788995
0.2,5.51,-15.4147056828029
0.2,5.52,-13.6156153457108
0.2,5.53,-11.8475462328333
0.2,5.54,-10.3260936466334
0.2,5.55,-9.06615756326892
0.2,5.56,-8.03420434156687
0.2,5.57,-7.19195509555399
0.2,5.58,-6.50639439989302
0.2,5.59,-5.95103719346093
0.2,5.6,-5.5052043555676
0.2,5.61,-5.15304161043283
0.2,5.62,-4.88268897228705
0.2,5.63,-4.68566545425093
0.2,5.64,-4.55645507198286
0.2,5.65,-4.49227044457588
0.2,5.66,-4.49297591287351
0.2,5.67,-4.5611573813797
0.2,5.68,-4.70232385516954
0.2,5.69,-4.92520629732603
0.2,5.7,-5.24206230158219
0.2,5.71,-5.66875215011121
0.2,5.72,-6.22400995557057
0.2,5.73,-6.92652647203875
0.2,5.74,-7.7866076092642
0.2,5.75,-8.78544100067326
0.2,5.76,-9.83121853452884
0.2,5.77,-10.6983296894307
0.2,5.78,-11.0497201036612
0.2,5.79,-10.696007956358
0.2,5.8,-9.81691140164122
0.2,5.81,-8.7470623808504
0.2,5.82,-7.71305283587138
0.2,5.83,-6.80746814060349
0.2,5.84,-6.049281113078
0.2,5.85,-5.42797834791892
0.2,5.86,-4.92438431700187
0.2,5.87,-4.51897742885844
0.2,5.88,-4.19475807482856
0.2,5.89,-3.9379388415859
0.2,5.9,-3.73784591383431
0.2,5.91,-3.58660950223648
0.2,5.92,-3.47888717807386
0.2,5.93,-3.41173741796149
0.2,5.94,-3.384732655943
0.2,5.95,-3.40043717536342
0.2,5.96,-3.46548502453101
0.2,5.97,-3.59273654038896
0.2,5.98,-3.8055245907163
0.2,5.99,-4.14619522485964
0.2,6,-4.69381898559049
0.2,6.01,-5.60114753911618
0.2,6.02,-7.16101009326826
0.2,6.03,-9.76499127229633
0.2,6.04,-11.9684248238127
0.2,6.05,-9.39198307615179
0.2,6.06,-6.3673696092558
0.2,6.07,-4.65321400985176
0.2,6.08,-3.75255683696232
0.2,6.09,-3.27340913258528
0.2,6.1,-3.01503576192511
0.25,5.3,-2.39628652214602
0.25,5.31,-2.54420314835817
0.25,5.32,-2.71070293222076
0.25,5.33,-2.89890706712511
0.25,5.34,-3.11258007841191
0.25,5.35,-3.35628384593389
0.25,5.36,-3.63557298773019
0.25,5.37,-3.95724382246177
0.25,5.38,-4.32965301377818
0.25,5.39,-4.76312695913503
0.25,5.4,-5.27048858747859
0.25,5.41,-5.86773173631809
0.25,5.42,-6.57486389158831
0.25,5.43,-7.41687698562072
0.25,5.44,-8.42455696292228
0.25,5.45,-9.63392153269973
0.25,5.46,-11.0797309046769
0.25,5.47,-12.7666559401173
0.25,5.48,-14.566397227225
0.25,5.49,-15.9690621670551
0.25,5.5,-16.0929279073098
0.25,5.51,-14.8381625468639
0.25,5.52,-13.0643861326022
0.25,5.53,-11.3619157239575
0.25,5.54,-9.89848660834309
0.25,5.55,-8.68068094523034
0.25,5.56,-7.67592677519464
0.25,5.57,-6.84795686174168
0.25,5.58,-6.1651944408984
0.25,5.59,-5.60185181719245
0.25,5.6,-5.13727861149166
0.25,5.61,-4.75504069570096
0.25,5.62,-4.44209497502415
0.25,5.63,-4.18812317746832
0.25,5.64,-3.98501214469619
0.25,5.65,-3.82645462949231
0.25,5.66,-3.707646899074
0.25,5.67,-3.6250647124831
0.25,5.68,-3.57630427988939
0.25,5.69,-3.55997909465769
0.25,5.7,-3.57566720547395
0.25,5.71,-3.6239068495088
0.25,5.72,-3.70624170361362
0.25,5.73,-3.82532064986288
0.25,5.74,-3.98506130923837
0.25,5.75,-4.19089224595296
0.25,5.76,-4.45009661991923
0.25,5.77,-4.77229178431584
0.25,5.78,-5.17009787419263
0.25,5.79,-5.66007953083919
0.25,5.8,-6.26409960139317
0.25,5.81,-7.01132277798886
0.25,5.82,-7.94128545204633
0.25,5.83,-9.10873534685081
0.25,5.84,-10.591161188803
0.25,5.85,-12.4981494232866
0.25,5.86,-14.9625123289187
0.25,5.87,-17.9392668858827
0.25,5.88,-19.9817598583781
0.25,5.89,-18.4832772418996
0.25,5.9,-15.5464958010022
0.25,5.91,-13.0369819999589
0.25,5.92,-11.1030609453784
0.25,5.93,-9.61648135893087
0.25,5.94,-8.46299402118499
0.25,5.95,-7.56212755818682
0.25,5.96,-6.85844403755061
0.25,5.97,-6.31379605239834
0.25,5.98,-5.90260967695907
0.25,5.99,-5.60948197168163
0.25,6,-5.42865613035134
0.25,6.01,-5.36556278169633
0.25,6.02,-5.44150263601906
