"g [mm]","Freq [GHz]","dB(S(1,1)) []"
0.08,5.3,-8.26309539746452
0.08,5.31,-9.74938093657352
0.08,5.32,-11.6861618818328
0.08,5.33,-14.2742949135799
0.08,5.34,-17.7056659787112
0.08,5.35,-20.7784551630636
0.08,5.36,-19.0707547806084
0.08,5.37,-15.4208351725239
0.08,5.38,-12.5279525406519
0.08,5.39,-10.3783893527706
0.08,5.4,-8.74798607879337
0.08,5.41,-7.48300721198969
0.08,5.42,-6.48428757344923
0.08,5.43,-5.6853872269655
0.08,5.44,-5.03983042928772
0.08,5.45,-4.51396547695424
0.08,5.46,-4.08279800256191
0.08,5.47,-3.72741713748451
0.08,5.48,-3.43331816101191
0.08,5.49,-3.18926000086112
0.08,5.5,-2.98646026141097
0.08,5.51,-2.81801381413298
0.08,5.52,-2.67846529224602
0.08,5.53,-2.56349070636787
0.08,5.54,-2.4696581712433
0.08,5.55,-2.39424699117342
0.08,5.56,-2.33511042722445
0.08,5.57,-2.29057160629945
0.08,5.58,-2.25934493909346
0.08,5.59,-2.2404775054584
0.08,5.6,-2.23330640711005
0.08,5.61,-2.23742925110716
0.08,5.62,-2.25268583529479
0.08,5.63,-2.27914984369198
0.08,5.64,-2.3171299930077
0.08,5.65,-2.36718065639773
0.08,5.66,-2.43012257557553
0.08,5.67,-2.50707490749914
0.08,5.68,-2.5995005923073
0.08,5.69,-2.70926794291558
0.08,5.7,-2.83873253423893
0.08,5.71,-2.99084503811582
0.08,5.72,-3.16929279795707
0.08,5.73,-3.37868595742127
0.08,5.74,-3.62480333047249
0.08,5.75,-3.91491974985842
0.08,5.76,-4.25824684440728
0.08,5.77,-4.66653588612596
0.08,5.78,-5.1549200528382
0.08,5.79,-5.74312548704349
0.08,5.8,-6.45727970222776
0.08,5.81,-7.33274356782285
0.08,5.82,-8.41880124073965
0.08,5.83,-9.78689458856575
0.08,5.84,-11.5457283051301
0.08,5.85,-13.8677972541631
0.08,5.86,-17.0062810548988
0.08,5.87,-20.864229518261
0.08,5.88,-21.7913757821812
0.08,5.89,-18.2260487172875
0.08,5.9,-14.8954534787004
0.08,5.91,-12.4542684880686
0.08,5.92,-10.6530542794641
0.08,5.93,-9.29900929279203
