s [mm],Freq [GHz],"dB(S(1,1)) []"
0.06,5.3,-3.854494889
0.06,5.31,-4.278406302
0.06,5.32,-4.787260524
0.06,5.33,-5.403947781
0.06,5.34,-6.159427133
0.06,5.35,-7.096670334
0.06,5.36,-8.277469778
0.06,5.37,-9.795027748
0.06,5.38,-11.79851068
0.06,5.39,-14.53759887
0.06,5.4,-18.34351172
0.06,5.41,-21.91628801
0.06,5.42,-19.42139576
0.06,5.43,-15.34322705
0.06,5.44,-12.35148864
0.06,5.45,-10.18530718
0.06,5.46,-8.563660618
0.06,5.47,-7.317517098
0.06,5.48,-6.342432503
0.06,5.49,-5.569733338
0.06,5.5,-4.951874452
0.06,5.51,-4.454689508
0.06,5.52,-4.052988069
0.06,5.53,-3.727872543
0.06,5.54,-3.465003079
0.06,5.55,-3.253423136
0.06,5.56,-3.08473859
0.06,5.57,-2.952532175
0.06,5.58,-2.851941588
0.06,5.59,-2.779355803
0.06,5.6,-2.732199803
0.06,5.61,-2.708788193
0.06,5.62,-2.708235202
0.06,5.63,-2.730414051
0.06,5.64,-2.775963149
0.06,5.65,-2.846340963
0.06,5.66,-2.943935988
0.06,5.67,-3.07224383
0.06,5.68,-3.236130478
0.06,5.69,-3.442210475
0.06,5.7,-3.699381824
0.06,5.71,-4.019577663
0.06,5.72,-4.418818996
0.06,5.73,-4.918682604
0.06,5.74,-5.548323506
0.06,5.75,-6.34716201
0.06,5.76,-7.368035302
0.06,5.77,-8.678985516
0.06,5.78,-10.35394882
0.06,5.79,-12.40498967
0.06,5.8,-14.47145264
0.06,5.81,-15.23881452
0.06,5.82,-13.89196808
0.06,5.83,-11.79733454
0.06,5.84,-9.961979017
0.06,5.85,-8.588944182
0.06,5.86,-7.649581429
0.06,5.87,-6.984862148
0.06,5.88,-6.156492463
0.06,5.89,-5.042822446
0.06,5.9,-4.155980954
0.06,5.91,-3.59138937
0.06,5.92,-3.224510045
0.06,5.93,-2.970886539
0.06,5.94,-2.78807847
0.06,5.95,-2.653931845
0.06,5.96,-2.55570351
0.06,5.97,-2.485377276
0.06,5.98,-2.437558988
0.06,5.99,-2.408445475
0.06,6,-2.395271225
0.06,6.01,-2.395985817
0.06,6.02,-2.409052349
0.06,6.03,-2.433314212
0.06,6.04,-2.467903015
0.06,6.05,-2.512172617
0.06,6.06,-2.565650482
